User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date,Year,Month,Day,Weekday,Demand
337c166f,f414122f-e,5,36.53,15,31.05,3,2024-11-12,2024,11,12,5,188
d38a19bf,fde50f9c-5,2,232.79,20,186.23,3,2024-02-09,2024,2,9,0,131
d7f5f0b0,0d96fc90-3,5,317.02,25,237.76,1,2024-09-01,2024,9,1,3,136
395d4994,964fc44b-d,6,173.19,25,129.89,4,2024-04-01,2024,4,1,1,162
a83c145c,d70e2fc6-e,0,244.8,20,195.84,3,2024-09-27,2024,9,27,0,150
3fdcdae8,0816ee12-5,1,241.86,50,120.93,4,2024-08-08,2024,8,8,4,232
12772337,d41e0b55-c,6,76.91,5,73.06,1,2024-03-28,2024,3,28,4,123
9f0194af,83b7dc04-5,5,213.23,20,170.58,3,2024-05-29,2024,5,29,6,134
7a8559d8,87c9c896-1,5,379.81,5,360.82,1,2024-02-26,2024,2,26,1,60
8911f0d1,31308875-b,4,415.36,50,207.68,3,2024-01-11,2024,1,11,4,191
98857e41,b2b1af7b-7,1,73.09,10,65.78,0,2024-10-21,2024,10,21,1,180
3b857e65,e221cf14-c,0,393.77,15,334.7,0,2024-09-10,2024,9,10,5,108
204fab33,8c9a5f54-b,4,287.69,10,258.92,1,2024-03-08,2024,3,8,0,91
88159234,eeb0635d-a,5,26.26,50,13.13,1,2024-05-10,2024,5,10,0,262
8c1f2f98,38aec303-2,2,305.1,25,228.83,4,2024-06-20,2024,6,20,4,135
a84d7206,69d91fbc-3,4,113.71,5,108.02,1,2024-04-28,2024,4,28,3,114
4578c08e,928b4b24-d,6,426.75,0,426.75,3,2024-08-17,2024,8,17,2,31
ba3964fa,12f03ff4-6,4,52.98,0,52.98,3,2024-08-08,2024,8,8,4,109
78595586,729191af-4,3,223.89,0,223.89,0,2024-06-13,2024,6,13,4,74
195e0c14,089c1cdd-0,2,166.75,0,166.75,2,2024-09-23,2024,9,23,1,82
7f6e9ab5,a38a732e-9,4,77.22,15,65.64,0,2024-06-01,2024,6,1,2,151
d33a1a62,4c021051-3,6,28.6,25,21.45,1,2024-04-19,2024,4,19,0,189
427a8468,e57d04f5-d,1,395.73,15,336.37,0,2024-11-07,2024,11,7,4,121
97f18950,b1d2560c-7,4,351.87,0,351.87,3,2024-08-31,2024,8,31,2,48
426308a5,4dc7c4a3-8,6,257.14,20,205.71,3,2024-09-14,2024,9,14,2,123
57c601ea,ce353020-f,5,332.0,20,265.6,3,2024-02-03,2024,2,3,2,117
a429364b,7fd8663b-b,6,375.59,30,262.91,3,2024-04-14,2024,4,14,3,134
928bddf9,b338a0b6-7,0,235.13,25,176.35,4,2024-08-06,2024,8,6,5,170
0f32a6f6,df52cac6-d,3,352.95,50,176.47,4,2024-08-05,2024,8,5,1,194
d71af9e5,d384b62b-c,6,245.98,15,209.08,0,2024-06-28,2024,6,28,0,120
b0d1473b,7004654f-0,6,389.72,10,350.75,2,2024-04-22,2024,4,22,1,77
9b99bfb0,5bfb14c4-f,4,88.07,30,61.65,4,2024-10-07,2024,10,7,1,226
de4cdcdd,411c40d9-1,0,40.78,50,20.39,0,2024-03-20,2024,3,20,6,278
5f57fbd4,d5b42863-c,6,105.1,25,78.82,3,2024-03-10,2024,3,10,3,174
87f21131,b896f670-9,4,224.52,50,112.26,2,2024-05-21,2024,5,21,5,223
f7d6dfab,6b5e4a98-0,1,300.81,5,285.77,2,2024-06-01,2024,6,1,2,87
ca363a04,7f05dd28-6,6,24.17,25,18.13,1,2024-01-15,2024,1,15,1,187
68d24203,3e56a630-e,2,95.41,15,81.1,2,2024-04-21,2024,4,21,3,144
0ae7336e,1dc3b1a0-4,2,490.77,10,441.69,4,2024-08-03,2024,8,3,2,48
72343250,cc379a88-b,3,188.07,50,94.03,2,2024-07-01,2024,7,1,1,233
021adfb6,1695a728-0,4,319.29,5,303.33,1,2024-02-20,2024,2,20,5,70
a9f47880,c66354db-6,6,403.4,10,363.06,3,2024-08-25,2024,8,25,3,72
005258a0,273c5035-2,3,303.14,0,303.14,2,2024-05-17,2024,5,17,0,60
5e088877,74b72b2f-7,4,337.81,25,253.36,1,2024-06-18,2024,6,18,5,123
f2e7bcc0,5e059f5f-7,2,449.74,10,404.77,0,2024-09-15,2024,9,15,3,58
5a1d9851,dd5071f5-c,5,272.92,30,191.04,3,2024-05-12,2024,5,12,3,158
cc672bd7,db828c6d-0,4,432.89,15,367.96,1,2024-02-25,2024,2,25,3,74
5c2f954d,db26458e-0,4,310.86,10,279.77,4,2024-10-30,2024,10,30,6,121
d5daed7a,ee59d876-b,0,479.19,0,479.19,2,2024-08-11,2024,8,11,3,47
0b32dc6f,919b53bb-2,4,350.61,10,315.55,2,2024-06-03,2024,6,3,1,83
a151d3b5,159dca37-7,1,154.62,50,77.31,3,2024-10-08,2024,10,8,5,278
e9fde811,af65c4a5-5,6,435.6,50,217.8,3,2024-04-04,2024,4,4,4,178
932c893c,847e77d3-d,6,400.31,25,300.23,3,2024-08-03,2024,8,3,2,112
b98d8283,e907e57c-b,3,15.81,25,11.86,4,2024-05-08,2024,5,8,6,192
4319ad38,f8495894-2,6,35.25,15,29.96,4,2024-01-11,2024,1,11,4,159
0b204db3,be68a8d8-7,3,414.76,0,414.76,2,2024-06-30,2024,6,30,3,34
eb65d1ca,e964198d-7,6,334.47,30,234.13,2,2024-08-25,2024,8,25,3,138
2ce76c47,c834b41d-5,4,178.39,25,133.79,4,2024-10-04,2024,10,4,0,187
e186c635,c4ddee78-e,1,237.95,15,202.26,3,2024-10-22,2024,10,22,5,153
8e9eae19,59718054-8,3,458.12,15,389.4,4,2024-08-29,2024,8,29,4,75
1100831a,0a46a91c-d,0,286.5,5,272.18,1,2024-08-10,2024,8,10,2,95
64b48c94,07ce9e62-a,5,10.78,10,9.7,3,2024-08-22,2024,8,22,4,143
88e9aac9,baff7ab2-1,0,342.66,30,239.86,4,2024-07-24,2024,7,24,6,161
a87b658a,2449a91f-2,5,225.17,30,157.62,0,2024-09-16,2024,9,16,1,164
f92a5812,273ceb78-0,2,405.45,25,304.09,4,2024-07-18,2024,7,18,4,117
158e8085,04dcad68-2,0,112.45,0,112.45,1,2024-07-07,2024,7,7,3,115
179ae4c5,6d1089e4-9,1,380.81,20,304.65,1,2024-04-01,2024,4,1,1,113
79aff6cb,32452d43-a,5,394.12,25,295.59,1,2024-03-09,2024,3,9,2,112
4e082c18,df40cf3d-6,5,334.77,15,284.55,0,2024-01-29,2024,1,29,1,102
3a475b95,42559644-1,2,125.65,10,113.09,4,2024-02-27,2024,2,27,5,120
57633cda,54c501ae-e,6,202.26,20,161.81,0,2024-09-13,2024,9,13,0,143
3f09b3c3,893343d5-d,2,173.51,20,138.81,3,2024-01-28,2024,1,28,3,143
12574fb0,ade73cc0-5,6,30.8,50,15.4,4,2024-04-28,2024,4,28,3,265
6b92aea5,663d067f-2,4,305.93,10,275.34,0,2024-10-19,2024,10,19,2,119
cf929cc7,bc84dcb8-5,2,282.5,5,268.38,0,2024-04-14,2024,4,14,3,81
c73916c0,56c95db1-7,1,274.87,50,137.44,3,2024-09-17,2024,9,17,5,227
ddae0858,4dd272cd-4,3,93.08,20,74.46,3,2024-03-11,2024,3,11,1,160
616fca83,c893a571-b,4,274.11,15,232.99,1,2024-10-17,2024,10,17,4,136
0ac5e876,60e53d02-0,5,362.61,0,362.61,0,2024-11-21,2024,11,21,4,76
5d31e0f4,568f353e-6,3,486.62,25,364.97,3,2024-01-09,2024,1,9,5,99
04cdb11d,c2d4aa98-b,4,336.49,20,269.19,0,2024-09-03,2024,9,3,5,116
e54b0416,ec8c9491-b,6,454.39,25,340.79,1,2024-09-04,2024,9,4,6,107
0d9f9cc3,dd1ca92d-a,4,215.44,50,107.72,4,2024-06-22,2024,6,22,2,229
8c2e8d5f,0fa064a8-d,2,33.02,15,28.07,4,2024-09-18,2024,9,18,6,153
849f6eb8,2ad0fe64-8,6,138.83,10,124.95,3,2024-06-18,2024,6,18,5,125
6964d7bb,9a0a1741-8,1,490.71,5,466.17,2,2024-03-10,2024,3,10,3,47
f9941dc2,b46f5c60-7,6,280.66,15,238.56,2,2024-11-11,2024,11,11,1,141
aa8f723f,214f0eed-f,1,327.4,30,229.18,2,2024-09-11,2024,9,11,6,156
0f78333d,c70fab41-e,1,309.67,25,232.25,4,2024-09-04,2024,9,4,6,138
94aa211f,fcbc5388-0,1,292.67,25,219.5,1,2024-02-13,2024,2,13,5,148
414b8fad,2257fd97-e,2,40.87,15,34.74,3,2024-03-11,2024,3,11,1,158
8f081976,34a952b4-a,2,455.19,15,386.91,3,2024-10-05,2024,10,5,2,108
41622516,5d9e94f3-1,6,312.3,10,281.07,4,2024-01-31,2024,1,31,6,84
0b3c2c9f,4ff5749c-e,5,193.28,10,173.95,4,2024-06-11,2024,6,11,5,106
b7f89b7e,74aeba43-c,3,216.18,30,151.33,1,2024-03-27,2024,3,27,6,168
458ce5f7,2228c622-f,3,81.41,5,77.34,0,2024-02-20,2024,2,20,5,115
b9fabe54,e907f4d3-9,0,496.05,5,471.25,2,2024-01-09,2024,1,9,5,52
2403105a,a7298172-c,5,357.54,15,303.91,0,2024-06-15,2024,6,15,2,88
7a5f0316,4118f1cc-3,3,133.93,0,133.93,0,2024-04-24,2024,4,24,6,98
e0424124,3b0a706d-2,2,90.2,10,81.18,2,2024-01-28,2024,1,28,3,130
b717743a,cd9ba20a-7,1,431.44,50,215.72,4,2024-01-28,2024,1,28,3,197
82d284f0,ec8c3655-e,4,42.98,5,40.83,4,2024-09-07,2024,9,7,2,127
83732a37,b3525981-b,5,182.04,0,182.04,4,2024-08-23,2024,8,23,0,87
d8e5dd07,3d832b43-e,0,83.58,20,66.86,3,2024-04-01,2024,4,1,1,186
458c8213,c40efcc0-2,2,92.92,10,83.63,1,2024-04-02,2024,4,2,5,132
b955c6ec,268ce5a6-f,6,388.1,25,291.08,0,2024-06-28,2024,6,28,0,120
1a4639c6,9822591f-3,0,417.57,50,208.78,4,2024-02-22,2024,2,22,4,208
b3cb8c3c,707c9b5c-c,5,322.93,5,306.78,1,2024-01-03,2024,1,3,6,66
3043e68e,cfe90194-b,6,257.21,5,244.35,4,2024-09-05,2024,9,5,4,78
ffda329b,bf258db9-2,4,29.92,50,14.96,2,2024-05-01,2024,5,1,6,265
b2ab489e,137695d9-6,4,239.67,15,203.72,4,2024-01-27,2024,1,27,2,118
56c6e554,f477647f-5,0,163.3,30,114.31,1,2024-05-31,2024,5,31,0,199
03ec5d73,5b91457c-3,1,135.62,30,94.93,4,2024-09-01,2024,9,1,3,191
3f20311f,c0712648-3,6,61.84,50,30.92,3,2024-04-19,2024,4,19,0,254
d5fb8686,412992e4-9,5,496.36,25,372.27,1,2024-07-30,2024,7,30,5,97
a3df5dd4,40ca8015-7,6,107.11,30,74.98,3,2024-04-29,2024,4,29,1,188
8fa5b154,bc26060a-5,3,384.8,25,288.6,1,2024-10-07,2024,10,7,1,153
f9b0b9bf,7f74df77-2,6,377.75,50,188.88,1,2024-05-25,2024,5,25,2,191
6b395741,aef8a1b7-f,4,285.18,0,285.18,3,2024-05-24,2024,5,24,0,57
367debf4,dbc17060-e,1,187.86,0,187.86,4,2024-02-24,2024,2,24,2,89
51dc4386,87d16f8f-2,5,440.5,50,220.25,3,2024-09-24,2024,9,24,5,180
6b4ec06c,4c54fc1d-0,0,124.56,0,124.56,1,2024-04-16,2024,4,16,5,112
313b6efb,7f15c4cf-6,0,236.7,0,236.7,0,2024-09-16,2024,9,16,1,87
c68d813a,a95d5384-7,2,397.16,30,278.01,0,2024-10-11,2024,10,11,0,159
3b327b6e,69ac51ab-8,0,248.95,15,211.61,2,2024-04-14,2024,4,14,3,139
bba6b57f,d516e842-3,5,123.71,50,61.85,4,2024-10-12,2024,10,12,2,276
98a9ccae,d706b082-4,3,62.46,30,43.72,2,2024-11-18,2024,11,18,1,228
021b5be9,459a15e9-f,3,451.3,20,361.04,0,2024-06-12,2024,6,12,6,94
2ea44e9d,4ccbd0eb-8,5,320.09,0,320.09,4,2024-03-15,2024,3,15,0,58
ccab3064,7b348c44-0,6,51.73,30,36.21,2,2024-05-21,2024,5,21,5,203
ab1add51,ced724ce-2,6,388.94,20,311.15,3,2024-05-21,2024,5,21,5,106
f979e9ea,4cebabca-e,5,85.98,20,68.78,1,2024-05-14,2024,5,14,5,159
8f30f97d,6b4b6852-a,4,460.89,10,414.8,2,2024-05-18,2024,5,18,2,58
b8e38e07,61a3694b-7,4,492.64,20,394.11,1,2024-07-07,2024,7,7,3,76
b1fe155c,4843631e-4,5,86.95,25,65.21,0,2024-08-05,2024,8,5,1,175
9daac50a,b503bda4-8,0,416.65,15,354.15,3,2024-07-05,2024,7,5,0,99
02f68644,c6e0579d-9,6,155.75,50,77.88,1,2024-07-22,2024,7,22,1,237
ab51add8,b93bd2ee-b,2,238.9,25,179.18,0,2024-04-17,2024,4,17,6,148
173a7d55,cf9bf8ad-9,0,470.33,0,470.33,1,2024-04-12,2024,4,12,0,46
c9939103,7ae18ecd-b,6,62.48,20,49.98,4,2024-06-02,2024,6,2,3,172
46b35e44,9f5d4e87-5,4,317.67,20,254.14,3,2024-02-10,2024,2,10,2,114
1b4424dd,0de24149-d,0,33.21,20,26.57,3,2024-03-14,2024,3,14,4,194
16b4c497,b1cd2571-8,1,118.52,5,112.59,3,2024-04-11,2024,4,11,4,126
ebbfafc3,6518b3f5-9,2,376.63,15,320.14,1,2024-05-07,2024,5,7,5,86
f2c0a566,2a0374d2-e,0,428.47,0,428.47,1,2024-03-15,2024,3,15,0,54
34dad111,119fec0d-2,0,462.91,20,370.33,0,2024-07-02,2024,7,2,5,103
aa7bdfa3,9e012e67-8,3,385.98,15,328.08,3,2024-05-08,2024,5,8,6,91
251c90d9,4b06ab84-e,2,311.0,25,233.25,3,2024-07-31,2024,7,31,6,135
598efd02,68235070-2,6,268.49,25,201.37,4,2024-05-09,2024,5,9,4,140
c5642517,477dbdaa-9,6,185.46,10,166.91,3,2024-06-12,2024,6,12,6,112
5e8aed36,e83298b7-c,3,267.4,5,254.03,0,2024-04-19,2024,4,19,0,79
7be076d6,968716f9-d,4,203.43,5,193.26,2,2024-09-23,2024,9,23,1,99
41118f59,5b7f1241-9,1,171.63,50,85.81,3,2024-02-21,2024,2,21,6,249
2da125c1,69a949eb-b,3,326.01,0,326.01,4,2024-10-11,2024,10,11,0,85
d6b94141,e2a4b6ca-c,3,147.71,0,147.71,3,2024-06-09,2024,6,9,3,93
823e9a88,90518d68-1,2,390.2,0,390.2,3,2024-02-02,2024,2,2,0,42
7391f331,1ee7bc15-5,4,406.06,50,203.03,4,2024-03-24,2024,3,24,3,183
6bdb1d9e,7b5dd212-c,1,268.42,5,255.0,1,2024-03-10,2024,3,10,3,86
ab7273bc,eb1e3cad-b,0,210.36,10,189.32,0,2024-11-17,2024,11,17,3,160
839f23dc,2838f818-c,4,285.47,20,228.38,3,2024-06-01,2024,6,1,2,127
42385946,9d19438f-d,6,494.46,10,445.01,1,2024-08-18,2024,8,18,3,54
c7978493,c45f28ae-1,2,287.09,20,229.67,2,2024-04-10,2024,4,10,6,120
b6df8c21,0f772bf6-b,2,378.27,0,378.27,0,2024-03-29,2024,3,29,0,47
c112eed4,42cf5d2e-e,2,23.54,20,18.83,2,2024-07-11,2024,7,11,4,172
92e87211,b2969904-5,2,383.58,10,345.22,4,2024-06-07,2024,6,7,0,74
a7a46866,8d276b60-e,5,41.61,15,35.37,1,2024-11-05,2024,11,5,5,186
a1adb0ae,d13b913f-9,6,261.57,50,130.78,2,2024-07-20,2024,7,20,2,219
f30003fb,5c2c5955-3,3,251.32,5,238.75,1,2024-06-28,2024,6,28,0,89
73bfc396,bc3bb60a-5,5,72.43,50,36.22,2,2024-09-15,2024,9,15,3,258
3e41585f,27e9782e-5,5,421.0,10,378.9,3,2024-07-03,2024,7,3,6,64
599dbf81,ab7ff487-1,1,422.02,30,295.41,2,2024-06-07,2024,6,7,0,130
7cb6d3eb,d5c83689-d,6,219.83,5,208.84,1,2024-10-13,2024,10,13,3,118
73a54189,b7af74f2-2,3,242.33,15,205.98,3,2024-05-10,2024,5,10,0,120
13649191,4750a3de-4,2,334.28,15,284.14,0,2024-05-07,2024,5,7,5,100
fea0052e,7b7268d8-6,1,148.21,50,74.11,3,2024-08-22,2024,8,22,4,255
a0968a8d,1f251a5e-3,4,275.11,50,137.56,3,2024-08-25,2024,8,25,3,214
cd1f4cd0,8e964181-6,4,211.85,20,169.48,4,2024-05-28,2024,5,28,5,139
82f860f7,5a8e414b-b,5,497.4,50,248.7,2,2024-08-08,2024,8,8,4,173
51dacac1,65a4da6f-6,0,368.74,5,350.3,4,2024-02-26,2024,2,26,1,79
38a1e970,5a55a846-e,4,260.82,0,260.82,1,2024-02-05,2024,2,5,1,62
d0d5e3b0,7ce94426-b,0,394.35,15,335.2,3,2024-03-06,2024,3,6,6,101
4ff8266f,f391d9be-7,4,459.03,20,367.22,1,2024-08-11,2024,8,11,3,92
faff6ffa,cde121ac-d,0,377.99,10,340.19,2,2024-07-26,2024,7,26,0,92
8c3265d7,08562850-3,5,269.87,50,134.94,4,2024-08-06,2024,8,6,5,217
8a00dc54,4263e65c-c,0,458.8,50,229.4,3,2024-06-25,2024,6,25,5,194
3d0aec60,43630740-4,4,414.08,20,331.26,3,2024-04-03,2024,4,3,6,94
4f231045,c3297364-0,2,496.06,15,421.65,2,2024-10-20,2024,10,20,3,90
72a44b20,4d7b33d6-4,1,295.86,30,207.1,4,2024-10-29,2024,10,29,5,189
c34605d2,16ee2335-1,4,430.43,0,430.43,4,2024-10-02,2024,10,2,6,58
f836adad,be9ec030-d,5,169.71,25,127.28,1,2024-07-08,2024,7,8,1,163
aec17f43,6eaed388-2,2,315.8,0,315.8,3,2024-11-20,2024,11,20,6,81
f1cbd9ed,31de3bd2-f,4,154.33,25,115.75,1,2024-08-04,2024,8,4,3,169
7c8bf4b9,88870a57-4,4,197.33,25,148.0,1,2024-08-22,2024,8,22,4,150
a5cda6c8,df236be6-3,6,270.73,20,216.58,3,2024-08-06,2024,8,6,5,121
c55dd505,0a074647-b,4,261.23,20,208.98,0,2024-11-13,2024,11,13,6,153
f666dd75,88ef8a42-2,4,334.87,50,167.44,0,2024-11-14,2024,11,14,4,233
c2eefc6e,a0e0a691-6,0,266.2,0,266.2,4,2024-11-14,2024,11,14,4,117
4b3752aa,8afa06d8-5,4,169.53,50,84.77,1,2024-03-06,2024,3,6,6,235
5984c518,cc75f240-f,2,332.57,0,332.57,3,2024-02-18,2024,2,18,3,48
ba0d460e,0cf80cb2-8,6,398.85,10,358.97,2,2024-09-23,2024,9,23,1,65
e0f55269,6b4cb792-5,4,180.6,0,180.6,4,2024-09-24,2024,9,24,5,80
7bdff67a,eabbc369-2,1,433.59,25,325.19,2,2024-01-14,2024,1,14,3,114
10c31378,9883b500-1,4,20.74,10,18.67,4,2024-09-01,2024,9,1,3,144
e651377e,a8f16266-b,3,17.01,30,11.91,3,2024-05-24,2024,5,24,0,210
ba678df8,da23cfa7-8,3,34.13,50,17.07,0,2024-03-09,2024,3,9,2,263
49a759a7,6998026b-c,4,11.14,15,9.47,1,2024-03-19,2024,3,19,5,163
abb2fa33,bf309230-0,4,206.97,0,206.97,3,2024-10-25,2024,10,25,0,106
a3b63775,f10370ff-5,4,353.08,50,176.54,1,2024-08-23,2024,8,23,0,200
1c816115,5fe989c9-0,5,67.36,25,50.52,3,2024-11-10,2024,11,10,3,216
74ba5569,18a5e79d-9,1,203.49,30,142.44,3,2024-04-30,2024,4,30,5,181
e0a14854,8d0bdad7-4,2,246.98,30,172.89,4,2024-05-11,2024,5,11,2,165
171a2e71,928d77c4-3,1,368.25,20,294.6,1,2024-11-16,2024,11,16,2,141
c7cd48dd,f383159c-4,1,327.19,20,261.75,2,2024-11-02,2024,11,2,2,154
b7380b04,8d255132-b,5,274.65,20,219.72,2,2024-11-08,2024,11,8,0,157
d799d699,2cbe2f6f-c,3,369.15,0,369.15,1,2024-06-19,2024,6,19,6,45
d374b1f9,9ea32af8-e,2,84.26,5,80.05,0,2024-10-16,2024,10,16,6,146
e8492835,65ac8845-c,1,255.74,25,191.81,4,2024-06-04,2024,6,4,5,149
3efbfc39,93a8561e-7,5,440.74,30,308.52,0,2024-09-11,2024,9,11,6,121
b267883f,41fbbdbc-9,3,316.84,25,237.63,2,2024-05-25,2024,5,25,2,131
978ce91d,e2cdb444-c,0,199.88,10,179.89,3,2024-01-20,2024,1,20,2,135
4062921e,bcdf7628-1,4,389.85,30,272.89,3,2024-07-20,2024,7,20,2,127
2fb9f48b,1115a4cc-1,5,317.98,5,302.08,1,2024-07-23,2024,7,23,5,74
aa744c61,a1d355b7-1,4,165.06,30,115.54,2,2024-11-12,2024,11,12,5,211
121bdf3e,a0354415-2,1,192.48,15,163.61,1,2024-06-05,2024,6,5,6,136
6894c5b0,96ef0dc9-6,4,106.34,20,85.07,4,2024-04-11,2024,4,11,4,155
152a3010,bc8f50c4-2,3,404.92,50,202.46,2,2024-10-22,2024,10,22,5,217
cc1c878a,8a124bf1-f,6,289.62,10,260.66,3,2024-07-28,2024,7,28,3,97
02d317f1,7951f51e-0,0,129.89,5,123.4,2,2024-04-21,2024,4,21,3,127
4789f600,28cfa86a-5,4,41.2,5,39.14,3,2024-07-15,2024,7,15,1,123
f2e4ad50,612b78d4-f,2,208.08,15,176.87,4,2024-11-15,2024,11,15,0,157
b721c64b,b91ead40-7,5,114.84,20,91.87,0,2024-06-17,2024,6,17,1,154
30d3fca9,88c4fbee-6,6,430.16,20,344.13,4,2024-01-31,2024,1,31,6,90
1e02db52,12e1e7b7-7,5,431.98,25,323.99,4,2024-01-06,2024,1,6,2,106
ccdec6cd,743ba069-f,4,472.77,20,378.22,0,2024-03-29,2024,3,29,0,86
72baa45f,4ee2c2d6-9,5,473.18,50,236.59,2,2024-10-24,2024,10,24,4,203
f3498014,1c303802-d,1,205.06,25,153.8,0,2024-08-13,2024,8,13,5,166
d4438986,fe1e6a78-9,0,485.71,20,388.57,1,2024-06-07,2024,6,7,0,97
b7ce73a5,3ba8563c-f,5,84.28,10,75.85,0,2024-09-23,2024,9,23,1,135
56c899ff,afda448a-a,1,189.84,20,151.87,1,2024-03-08,2024,3,8,0,153
8d6c950e,916025c8-f,5,366.4,15,311.44,3,2024-09-12,2024,9,12,4,87
dcfc3adc,ece88ff7-0,2,93.05,50,46.52,0,2024-05-15,2024,5,15,6,253
94ed2dce,9083e49d-7,6,398.16,5,378.25,1,2024-04-19,2024,4,19,0,50
7341f194,c69635d9-f,5,326.51,20,261.21,2,2024-05-27,2024,5,27,1,119
295a2e0b,23e7a67d-1,6,367.98,5,349.58,1,2024-02-11,2024,2,11,3,64
480b55c6,7bbba576-7,6,424.14,50,212.07,2,2024-09-06,2024,9,6,0,188
4bd29822,948a3b40-d,2,359.51,30,251.66,4,2024-05-12,2024,5,12,3,134
11d1ef2a,b6bfe4cb-f,6,187.2,25,140.4,3,2024-05-28,2024,5,28,5,158
c6952c07,56f9b336-5,4,232.12,5,220.51,4,2024-08-27,2024,8,27,5,92
