Date,Demand,Year,Month,Day,Weekday
2024-01-01,1087,2024,1,1,0
2024-01-02,2358,2024,1,2,1
2024-01-03,1246,2024,1,3,2
2024-01-04,1519,2024,1,4,3
2024-01-05,1891,2024,1,5,4
2024-01-06,1187,2024,1,6,5
2024-01-07,2472,2024,1,7,6
2024-01-08,1338,2024,1,8,0
2024-01-09,2222,2024,1,9,1
2024-01-10,1298,2024,1,10,2
2024-01-11,1650,2024,1,11,3
2024-01-12,1183,2024,1,12,4
2024-01-13,1520,2024,1,13,5
2024-01-14,3098,2024,1,14,6
2024-01-15,1576,2024,1,15,0
2024-01-16,1310,2024,1,16,1
2024-01-17,1510,2024,1,17,2
2024-01-18,1738,2024,1,18,3
2024-01-19,1112,2024,1,19,4
2024-01-20,1432,2024,1,20,5
2024-01-21,2143,2024,1,21,6
2024-01-22,1559,2024,1,22,0
2024-01-23,766,2024,1,23,1
2024-01-24,1643,2024,1,24,2
2024-01-25,573,2024,1,25,3
2024-01-26,1569,2024,1,26,4
2024-01-27,2086,2024,1,27,5
2024-01-28,2171,2024,1,28,6
2024-01-29,2252,2024,1,29,0
2024-01-30,1891,2024,1,30,1
2024-01-31,2007,2024,1,31,2
2024-02-01,1442,2024,2,1,3
2024-02-02,908,2024,2,2,4
2024-02-03,1750,2024,2,3,5
2024-02-04,1685,2024,2,4,6
2024-02-05,1924,2024,2,5,0
2024-02-06,883,2024,2,6,1
2024-02-07,1288,2024,2,7,2
2024-02-08,1409,2024,2,8,3
2024-02-09,1855,2024,2,9,4
2024-02-10,1472,2024,2,10,5
2024-02-11,1993,2024,2,11,6
2024-02-12,867,2024,2,12,0
2024-02-13,1714,2024,2,13,1
2024-02-14,1044,2024,2,14,2
2024-02-15,1586,2024,2,15,3
2024-02-16,963,2024,2,16,4
2024-02-17,1650,2024,2,17,5
2024-02-18,2249,2024,2,18,6
2024-02-19,1548,2024,2,19,0
2024-02-20,2161,2024,2,20,1
2024-02-21,1763,2024,2,21,2
2024-02-22,1458,2024,2,22,3
2024-02-23,1506,2024,2,23,4
2024-02-24,1707,2024,2,24,5
2024-02-25,2264,2024,2,25,6
2024-02-26,1089,2024,2,26,0
2024-02-27,2095,2024,2,27,1
2024-02-28,1877,2024,2,28,2
2024-02-29,2109,2024,2,29,3
2024-03-01,2096,2024,3,1,4
2024-03-02,1430,2024,3,2,5
2024-03-03,1401,2024,3,3,6
2024-03-04,1763,2024,3,4,0
2024-03-05,2095,2024,3,5,1
2024-03-06,1079,2024,3,6,2
2024-03-07,1712,2024,3,7,3
2024-03-08,1725,2024,3,8,4
2024-03-09,2427,2024,3,9,5
2024-03-10,3426,2024,3,10,6
2024-03-11,2276,2024,3,11,0
2024-03-12,1853,2024,3,12,1
2024-03-13,1591,2024,3,13,2
2024-03-14,2018,2024,3,14,3
2024-03-15,1021,2024,3,15,4
2024-03-16,1221,2024,3,16,5
2024-03-17,1659,2024,3,17,6
2024-03-18,1203,2024,3,18,0
2024-03-19,2510,2024,3,19,1
2024-03-20,1594,2024,3,20,2
2024-03-21,2727,2024,3,21,3
2024-03-22,1392,2024,3,22,4
2024-03-23,2076,2024,3,23,5
2024-03-24,1788,2024,3,24,6
2024-03-25,1286,2024,3,25,0
2024-03-26,1272,2024,3,26,1
2024-03-27,1382,2024,3,27,2
2024-03-28,2653,2024,3,28,3
2024-03-29,3049,2024,3,29,4
2024-03-30,2112,2024,3,30,5
2024-03-31,2281,2024,3,31,6
2024-04-01,1428,2024,4,1,0
2024-04-02,1755,2024,4,2,1
2024-04-03,1465,2024,4,3,2
2024-04-04,2392,2024,4,4,3
2024-04-05,2571,2024,4,5,4
2024-04-06,1573,2024,4,6,5
2024-04-07,2278,2024,4,7,6
2024-04-08,2089,2024,4,8,0
2024-04-09,1966,2024,4,9,1
2024-04-10,1610,2024,4,10,2
2024-04-11,1722,2024,4,11,3
2024-04-12,2176,2024,4,12,4
2024-04-13,1415,2024,4,13,5
2024-04-14,2737,2024,4,14,6
2024-04-15,1762,2024,4,15,0
2024-04-16,2820,2024,4,16,1
2024-04-17,1420,2024,4,17,2
2024-04-18,2559,2024,4,18,3
2024-04-19,2845,2024,4,19,4
2024-04-20,1178,2024,4,20,5
2024-04-21,2840,2024,4,21,6
2024-04-22,1984,2024,4,22,0
2024-04-23,1822,2024,4,23,1
2024-04-24,1852,2024,4,24,2
2024-04-25,2274,2024,4,25,3
2024-04-26,2445,2024,4,26,4
2024-04-27,2122,2024,4,27,5
2024-04-28,3281,2024,4,28,6
2024-04-29,1567,2024,4,29,0
2024-04-30,1486,2024,4,30,1
2024-05-01,1221,2024,5,1,2
2024-05-02,1760,2024,5,2,3
2024-05-03,1750,2024,5,3,4
2024-05-04,1269,2024,5,4,5
2024-05-05,1499,2024,5,5,6
2024-05-06,1225,2024,5,6,0
2024-05-07,1572,2024,5,7,1
2024-05-08,2488,2024,5,8,2
2024-05-09,983,2024,5,9,3
2024-05-10,2018,2024,5,10,4
2024-05-11,1862,2024,5,11,5
2024-05-12,956,2024,5,12,6
2024-05-13,2038,2024,5,13,0
2024-05-14,2349,2024,5,14,1
2024-05-15,1708,2024,5,15,2
2024-05-16,976,2024,5,16,3
2024-05-17,2415,2024,5,17,4
2024-05-18,2084,2024,5,18,5
2024-05-19,2668,2024,5,19,6
2024-05-20,2478,2024,5,20,0
2024-05-21,1834,2024,5,21,1
2024-05-22,2347,2024,5,22,2
2024-05-23,1903,2024,5,23,3
2024-05-24,2591,2024,5,24,4
2024-05-25,1808,2024,5,25,5
2024-05-26,1762,2024,5,26,6
2024-05-27,1181,2024,5,27,0
2024-05-28,1435,2024,5,28,1
2024-05-29,1333,2024,5,29,2
2024-05-30,2619,2024,5,30,3
2024-05-31,1345,2024,5,31,4
2024-06-01,3204,2024,6,1,5
2024-06-02,2204,2024,6,2,6
2024-06-03,1486,2024,6,3,0
2024-06-04,3003,2024,6,4,1
2024-06-05,1713,2024,6,5,2
2024-06-06,1245,2024,6,6,3
2024-06-07,1860,2024,6,7,4
2024-06-08,1289,2024,6,8,5
2024-06-09,1795,2024,6,9,6
2024-06-10,1271,2024,6,10,0
2024-06-11,2139,2024,6,11,1
2024-06-12,2993,2024,6,12,2
2024-06-13,1969,2024,6,13,3
2024-06-14,1127,2024,6,14,4
2024-06-15,2181,2024,6,15,5
2024-06-16,723,2024,6,16,6
2024-06-17,1440,2024,6,17,0
2024-06-18,1955,2024,6,18,1
2024-06-19,1962,2024,6,19,2
2024-06-20,1901,2024,6,20,3
2024-06-21,1399,2024,6,21,4
2024-06-22,1824,2024,6,22,5
2024-06-23,1591,2024,6,23,6
2024-06-24,1266,2024,6,24,0
2024-06-25,1487,2024,6,25,1
2024-06-26,1464,2024,6,26,2
2024-06-27,1014,2024,6,27,3
2024-06-28,1714,2024,6,28,4
2024-06-29,1403,2024,6,29,5
2024-06-30,1124,2024,6,30,6
2024-07-01,1798,2024,7,1,0
2024-07-02,1010,2024,7,2,1
2024-07-03,1771,2024,7,3,2
2024-07-04,786,2024,7,4,3
2024-07-05,1129,2024,7,5,4
2024-07-06,886,2024,7,6,5
2024-07-07,2678,2024,7,7,6
2024-07-08,1558,2024,7,8,0
2024-07-09,1867,2024,7,9,1
2024-07-10,1226,2024,7,10,2
2024-07-11,2938,2024,7,11,3
2024-07-12,2386,2024,7,12,4
2024-07-13,1596,2024,7,13,5
2024-07-14,1935,2024,7,14,6
2024-07-15,3005,2024,7,15,0
2024-07-16,1225,2024,7,16,1
2024-07-17,1351,2024,7,17,2
2024-07-18,3105,2024,7,18,3
2024-07-19,2115,2024,7,19,4
2024-07-20,1715,2024,7,20,5
2024-07-21,2613,2024,7,21,6
2024-07-22,1807,2024,7,22,0
2024-07-23,2141,2024,7,23,1
2024-07-24,2309,2024,7,24,2
2024-07-25,2124,2024,7,25,3
2024-07-26,1660,2024,7,26,4
2024-07-27,1630,2024,7,27,5
2024-07-28,2110,2024,7,28,6
2024-07-29,2390,2024,7,29,0
2024-07-30,1342,2024,7,30,1
2024-07-31,1609,2024,7,31,2
2024-08-01,492,2024,8,1,3
2024-08-02,2102,2024,8,2,4
2024-08-03,1436,2024,8,3,5
2024-08-04,2098,2024,8,4,6
2024-08-05,1573,2024,8,5,0
2024-08-06,2875,2024,8,6,1
2024-08-07,2055,2024,8,7,2
2024-08-08,2365,2024,8,8,3
2024-08-09,1948,2024,8,9,4
2024-08-10,1321,2024,8,10,5
2024-08-11,2644,2024,8,11,6
2024-08-12,1291,2024,8,12,0
2024-08-13,1507,2024,8,13,1
2024-08-14,2116,2024,8,14,2
2024-08-15,2661,2024,8,15,3
2024-08-16,1370,2024,8,16,4
2024-08-17,1189,2024,8,17,5
2024-08-18,2482,2024,8,18,6
2024-08-19,1747,2024,8,19,0
2024-08-20,1334,2024,8,20,1
2024-08-21,3593,2024,8,21,2
2024-08-22,1362,2024,8,22,3
2024-08-23,2057,2024,8,23,4
2024-08-24,2784,2024,8,24,5
2024-08-25,2840,2024,8,25,6
2024-08-26,1310,2024,8,26,0
2024-08-27,1636,2024,8,27,1
2024-08-28,950,2024,8,28,2
2024-08-29,1764,2024,8,29,3
2024-08-30,2079,2024,8,30,4
2024-08-31,2751,2024,8,31,5
2024-09-01,2337,2024,9,1,6
2024-09-02,1759,2024,9,2,0
2024-09-03,2181,2024,9,3,1
2024-09-04,1783,2024,9,4,2
2024-09-05,1641,2024,9,5,3
2024-09-06,1287,2024,9,6,4
2024-09-07,2128,2024,9,7,5
2024-09-08,1764,2024,9,8,6
2024-09-09,2834,2024,9,9,0
2024-09-10,2424,2024,9,10,1
2024-09-11,2402,2024,9,11,2
2024-09-12,2303,2024,9,12,3
2024-09-13,2058,2024,9,13,4
2024-09-14,2005,2024,9,14,5
2024-09-15,1947,2024,9,15,6
2024-09-16,2682,2024,9,16,0
2024-09-17,1962,2024,9,17,1
2024-09-18,1013,2024,9,18,2
2024-09-19,1733,2024,9,19,3
2024-09-20,1786,2024,9,20,4
2024-09-21,1500,2024,9,21,5
2024-09-22,2901,2024,9,22,6
2024-09-23,3102,2024,9,23,0
2024-09-24,2331,2024,9,24,1
2024-09-25,1351,2024,9,25,2
2024-09-26,1535,2024,9,26,3
2024-09-27,2422,2024,9,27,4
2024-09-28,1317,2024,9,28,5
2024-09-29,2635,2024,9,29,6
2024-09-30,1903,2024,9,30,0
2024-10-01,2089,2024,10,1,1
2024-10-02,2672,2024,10,2,2
2024-10-03,1837,2024,10,3,3
2024-10-04,2930,2024,10,4,4
2024-10-05,2690,2024,10,5,5
2024-10-06,2142,2024,10,6,6
2024-10-07,2693,2024,10,7,0
2024-10-08,1743,2024,10,8,1
2024-10-09,1113,2024,10,9,2
2024-10-10,2506,2024,10,10,3
2024-10-11,3277,2024,10,11,4
2024-10-12,2296,2024,10,12,5
2024-10-13,2413,2024,10,13,6
2024-10-14,2506,2024,10,14,0
2024-10-15,2121,2024,10,15,1
2024-10-16,1884,2024,10,16,2
2024-10-17,3064,2024,10,17,3
2024-10-18,2637,2024,10,18,4
2024-10-19,2144,2024,10,19,5
2024-10-20,2970,2024,10,20,6
2024-10-21,2529,2024,10,21,0
2024-10-22,1947,2024,10,22,1
2024-10-23,1544,2024,10,23,2
2024-10-24,1991,2024,10,24,3
2024-10-25,3235,2024,10,25,4
2024-10-26,2501,2024,10,26,5
2024-10-27,2298,2024,10,27,6
2024-10-28,1810,2024,10,28,0
2024-10-29,1331,2024,10,29,1
2024-10-30,1950,2024,10,30,2
2024-10-31,2593,2024,10,31,3
2024-11-01,1812,2024,11,1,4
2024-11-02,2528,2024,11,2,5
2024-11-03,2606,2024,11,3,6
2024-11-04,2244,2024,11,4,0
2024-11-05,2510,2024,11,5,1
2024-11-06,1571,2024,11,6,2
2024-11-07,1750,2024,11,7,3
2024-11-08,2523,2024,11,8,4
2024-11-09,2546,2024,11,9,5
2024-11-10,2224,2024,11,10,6
2024-11-11,1936,2024,11,11,0
2024-11-12,3699,2024,11,12,1
2024-11-13,3588,2024,11,13,2
2024-11-14,1401,2024,11,14,3
2024-11-15,2240,2024,11,15,4
2024-11-16,2840,2024,11,16,5
2024-11-17,3676,2024,11,17,6
2024-11-18,2012,2024,11,18,0
2024-11-19,1856,2024,11,19,1
2024-11-20,1933,2024,11,20,2
2024-11-21,2563,2024,11,21,3
