Month,Average_Demand,Total_Demand,Seasonal_Factor,Demand_Level
1,1658.2903225806451,51407,0.866,Low Demand
2,1595.1379310344828,46259,0.833,Low Demand
3,1874.774193548387,58118,0.979,Normal Demand
4,2047.8,61434,1.069,Normal Demand
5,1789.5806451612902,55477,0.934,Normal Demand
6,1724.8666666666666,51746,0.9,Low Demand
7,1865.0,57815,0.974,Normal Demand
8,1926.8387096774193,59732,1.006,Normal Demand
9,2034.2,61026,1.062,Normal Demand
10,2305.032258064516,71456,1.203,High Demand
11,2383.714285714286,50058,1.244,High Demand
